McID,UUID,Star,Win,Loss,FK,FD,Kill,Death,BB,BL,Iron,Gold,Dia,Eme,Ws,WLR,FKDR,KDR,BBLR
Falna,52e377950cf2187e8c4900a5,144,1001,528,1403,621,2293,3521,514,746,345900,43317,11573,3991,4,1.9,2.26,0.65,0.69
Daufin,5e0f28a71350339c5ab324df,242,1259,2647,2685,2616,6987,11685,1284,2659,551428,67636,7225,4157,0,0.48,1.03,0.6,0.48
Get,5415c00448b8f1e1e64650ec,43,261,213,974,218,1209,1367,507,245,82911,12152,1802,880,1,1.23,4.47,0.88,2.07
Rubus_Calculum,60351cb467dc42da8c5f69a1,89,125,852,256,836,1337,2466,134,821,201043,23366,3930,995,0,0.15,0.31,0.54,0.16
Giftrank,62247e08ed1b1f213d010b39,48,107,197,580,201,855,1075,372,213,77375,8952,1919,415,0,0.54,2.89,0.8,1.75
Srauex,57df8a924a919d64d760e6e2,8,19,121,51,120,348,395,16,120,25684,3611,832,200,1,0.16,0.42,0.88,0.13
RussianFox,63c1ac6b45494b1a79c2ee42,67,449,865,2424,870,3915,2987,1861,1042,356490,45975,14337,7628,2,0.52,2.79,1.31,1.79
Puntzakje,618ec2a9ece6d76054ffd21c,186,514,1001,1956,1019,3804,4059,1142,1067,311106,40838,9172,2703,0,0.51,1.92,0.94,1.07
Siicke,5cf4bf64ae79a85ea5d332f9,9,46,128,89,141,406,463,61,138,37428,4215,632,379,0,0.36,0.63,0.88,0.44
oDoink,5e9a5b1c46bae398f25a3973,15,52,130,210,130,477,404,106,141,31251,4449,1178,326,0,0.4,1.62,1.18,0.75
xLmn_,62ab5cb0941308034e96398c,262,3039,2147,10959,2285,10245,19893,6435,2661,1199709,151851,18992,8731,0,1.42,4.8,0.52,2.42
Love_Nahida,63a5768aed1b1f213d458da4,147,1011,920,4459,971,7454,4592,1237,1090,497457,57994,7147,5162,0,1.1,4.59,1.62,1.13
ModernLegendsLP,5a9efc9071b30c60a717f964,2099,15178,6444,55455,6888,59764,63704,30988,9117,5257423,800701,166488,47419,0,2.36,8.05,0.94,3.4
Lukaid,64f4ec9aed1b1f213d543573,104,230,457,701,460,1159,2153,557,346,122536,13524,1385,795,0,0.5,1.52,0.54,1.61
ggyoulost,58e71f335d870ddd8a42fa4f,371,2003,5018,8239,4725,15622,18397,7631,5360,1236875,211772,32843,17208,2,0.4,1.74,0.85,1.42
PlasticGerm8702,5ad0c143388f031aa120e6c7,587,2533,5075,14536,5043,20325,29304,8344,5391,1787365,239609,57965,18924,0,0.5,2.88,0.69,1.55
kCrazybrotherk,617ccef5fb091d740bda584c,330,3097,2530,7121,2636,11436,19789,3094,2719,1170379,126504,21231,11012,2,1.22,2.7,0.58,1.14
winterTrackk,5fc4409233b2baa3f8b8d8e7,186,1210,2128,5326,2045,10471,9548,3430,2337,733957,120529,25555,6007,0,0.57,2.6,1.1,1.47
ItzLarry,657e42c4941308034e8709a4,31,180,121,411,126,518,634,182,129,45205,4003,359,914,0,1.49,3.26,0.82,1.41
FmaT_T,59c3c3e23564358547516e05,933,6707,6508,16822,6772,21575,45157,8009,7415,2577865,335024,33091,21387,0,1.03,2.48,0.48,1.08
Chimaal,60aaa44fa2477145261ec688,197,781,7323,5091,6973,14857,25190,3856,6540,1264181,159927,10746,8216,0,0.11,0.73,0.59,0.59
MR__MEE6,57af4bec4a919d64d77caab1,171,856,1161,2181,1189,5847,11187,1305,1219,342302,47651,4410,3316,1,0.74,1.83,0.52,1.07
kbwoo1302,5f410ae967657b214d6c7750,33,119,363,392,374,1413,2120,192,380,113840,14328,1701,1097,0,0.33,1.05,0.67,0.51
Creep_Hyp,5cbd5af838200698db28e3b6,1206,17500,4393,56800,4636,46442,70242,26487,5954,4096498,603395,68951,28004,0,3.98,12.25,0.66,4.45
Mealieh,5b0d3368388f031aa1ea3703,353,2033,3531,4399,3700,6715,15310,2178,3853,1012597,130350,5133,3126,0,0.58,1.19,0.44,0.57
Katteris,62221d3d5404acc20b1155a1,59,753,28,3075,35,2056,1503,1728,54,121501,17484,2517,431,0,26.89,87.86,1.37,32.0
Nyael,58a81000d005d6a6f1545fe2,1173,13337,2574,32310,2811,32011,65574,12813,3753,4006780,458973,53322,23564,0,5.18,11.49,0.49,3.41
MrLad,600beeec1350339c5aa7b95c,14,14,191,32,188,234,208,21,186,65999,6399,307,200,0,0.07,0.17,1.12,0.11
Azz4,6411b320941308034e1fa10a,21,118,525,297,526,387,1537,262,425,99129,10447,1254,500,0,0.22,0.56,0.25,0.62
supernika123,5a49f943388f031aa14d26a7,721,4798,6037,23117,6289,30176,33105,13054,7274,2275756,316438,31535,16107,0,0.79,3.68,0.91,1.79
Dian_Lu,544bf08648b8f1e1e64c2176,262,1853,2628,6884,2672,17031,16335,3072,2952,942705,133893,11549,7991,2,0.71,2.58,1.04,1.04
RayChen1105,5edc46255af71ee9c4ba8f87,1145,11509,6238,39325,6795,40524,57351,17955,8290,3776646,501094,83182,20626,0,1.84,5.79,0.71,2.17
pisrq,5c15df3e2bdd021de782467a,181,807,3641,2669,3142,3942,12092,2080,3120,527295,88042,7569,2957,0,0.22,0.85,0.33,0.67
Luroz,64e89a36d908bd580915ca75,116,244,167,1160,177,1247,1384,690,242,114287,13262,2645,1080,0,1.46,6.55,0.9,2.85
SolyTerre_,51ee71180cf22d6d38c64e8c,2093,20333,3214,70520,3642,50756,84194,38328,6267,5037708,804827,140315,46587,0,6.33,19.36,0.6,6.12
Subobus,5c5b11cc2bdd021de75aa79a,214,889,2422,3319,2270,10431,10641,1690,2424,685100,89873,13889,6193,3,0.37,1.46,0.98,0.7
Xo_Ko,5e1312185eb0c37f135e75fd,199,746,5551,3924,5554,11936,22117,2424,5322,967374,136070,12723,5746,1,0.13,0.71,0.54,0.46
mcpl_Penguin,61e206f2fb091d740b912e05,71,148,1546,784,1550,2627,4260,581,1516,341343,40399,7186,2942,2,0.1,0.51,0.62,0.38
sNyGgArE,5bf1043a0691cfdb179dfe41,72,333,967,1376,923,2624,3663,867,932,268675,36075,5145,2340,5,0.34,1.49,0.72,0.93
teun157,518cf9430cf233e0c5850fa8,45,171,551,363,557,2125,1669,102,560,200842,26887,5711,3111,1,0.31,0.65,1.27,0.18
_Xiong_,63e87b17941308034e7755dc,390,2255,348,6703,405,5522,7425,2510,584,493546,67812,9377,3125,0,6.48,16.55,0.74,4.3
jenseno7,56dc81c08e5fe3f6b1bbf8aa,128,371,2183,869,2158,4773,7794,458,2167,467714,66145,7149,2252,0,0.17,0.4,0.61,0.21
l_q,5f5929817bd87ce97d1e8440,291,2412,1627,9708,1725,11092,16097,7188,2242,944761,133470,12899,5294,3,1.48,5.63,0.69,3.21
Minuko,5ded35d8de84451635c0ac03,176,430,1040,704,1060,3648,3285,216,1132,408636,52177,13489,4355,1,0.41,0.66,1.11,0.19
Ian7896,657a165eed1b1f213dda0b6e,4,14,8,71,8,29,56,67,10,6218,698,44,14,3,1.75,8.88,0.52,6.7
Bruisings,5fe658a47bd87ce97d881f63,229,1358,2744,5870,2418,9229,14215,3458,2465,711887,96046,11375,5574,29,0.49,2.43,0.65,1.4
fatherfetus,5bde4f7c0691cfdb172123d0,584,5696,5043,22328,5303,25795,38379,11077,6239,2150292,317742,38355,20391,0,1.13,4.21,0.67,1.78
sassy_pigeon,5993364335643585478a07c7,48,153,1564,604,1462,2856,5931,414,1470,267769,38777,5072,2031,0,0.1,0.41,0.48,0.28
